,Город,Штат,Округ,Индекс,Телефонный код,Часовой пояс,Широта,Долгота
0,65th Infantry,PR,San Juan,923,787,EST+1,18.4125,-66.0374
1,Aaronsburg,PA,Centre,16820,814,EST,40.8639,-77.3918
2,Abbeville,GA,Wilcox,31001,229,EST,31.9896,-83.3111
3,Abbeville,MS,Lafayette,38601,662,CST,34.4719,-89.5985
4,Abbeville,AL,Henry,36310,334,CST,31.555,-85.2655
5,Abbeville,SC,Abbeville,29620,864,EST,34.1779,-82.3799
6,Abbeville,LA,Vermilion,70510,337,CST,29.9048,-92.1335
7,Abbeville,LA,Vermilion,70511,337,CST,29.9663,-92.1297
8,Abbot Village,ME,Piscataquis,4406,207,EST,45.3071,-69.556
9,Abbotsford,WI,Clark,54405,715,CST,44.9483,-90.3238
10,Abbott,TX,Hill,76621,254,CST,31.9001,-97.0742
11,Abbottstown,PA,Adams,17301,717,EST,39.8882,-76.9938
12,Abbyville,KS,Reno,67510,620,CST,38.0063,-98.2057
13,Abell,MD,Saint Mary's,20606,301,EST,38.2522,-76.7378
14,Abercrombie,ND,Richland,58001,701,CST,46.4176,-96.7122
15,Aberdeen,MD,Harford,21001,410,EST,39.5109,-76.1855
16,Aberdeen,NC,Moore,28315,910,EST,35.1453,-79.4249
17,Aberdeen,MS,Monroe,39730,662,CST,33.84,-88.5301
18,Aberdeen,KY,Butler,42201,270,CST,37.2539,-86.6817
19,Aberdeen,OH,Brown,45101,937,EST,38.6771,-83.7515
20,Aberdeen,SD,Brown,57401,605,CST,45.4648,-98.4905
21,Aberdeen,SD,Brown,57402,605,CST,45.4954,-98.4946
22,Aberdeen,ID,Bingham,83210,208,MST,43.0125,-112.829
23,Aberdeen,WA,Grays Harbor,98520,360,PST,47.0434,-123.763
24,Aberdeen Proving Ground,MD,Harford,21005,410,EST,39.4554,-76.1491
25,Abernant,AL,Tuscaloosa,35440,205,CST,33.2903,-87.1981
26,Abernathy,TX,Hale,79311,806,CST,33.9252,-101.91
27,Abie,NE,Butler,68001,402,CST,41.345,-96.9617
28,Abilene,KS,Dickinson,67410,785,CST,38.9422,-97.2126
29,Abilene,TX,Taylor,79601,915,CST,32.479,-99.7
30,Abilene,TX,Taylor,79602,915,CST,32.4295,-99.7221
31,Abilene,TX,Taylor,79603,915,CST,32.4688,-99.7647
32,Abilene,TX,Taylor,79604,915,CST,32.4522,-99.7332
33,Abilene,TX,Taylor,79605,915,CST,32.4313,-99.7771
34,Abilene,TX,Taylor,79606,915,CST,32.3889,-99.7712
35,Abilene,TX,Taylor,79607,915,CST,32.4238,-99.8285
36,Abilene,TX,Taylor,79608,915,CST,32.4189,-99.7492
37,Abilene,TX,Taylor,79697,915,CST,32.4297,-99.7505
38,Abilene,TX,Taylor,79698,915,CST,32.4749,-99.7345
39,Abilene,TX,Taylor,79699,915,CST,32.4689,-99.7097
40,Abingdon,MD,Harford,21009,410,EST,39.4733,-76.2993
41,Abingdon,VA,Washington,24210,276,EST,36.7088,-81.979
42,Abingdon,VA,Washington,24211,276,EST,36.7096,-81.9775
43,Abingdon,VA,Washington,24212,276,EST,36.7097,-81.9775
44,Abingdon,IL,Knox,61410,309,CST,40.8035,-90.4018
45,Abington,CT,Windham,6230,860,EST,41.8462,-72.0147
46,Abington,MA,Plymouth,2351,781,EST,42.1173,-70.9547
47,Abington,PA,Montgomery,19001,215,EST,40.1245,-75.1298
48,Abiquiu,NM,Rio Arriba,87510,505,MST,36.1546,-106.236
